ID заказа	Дата поставки	Наименование	Количество, шт	Сумма, р	Клиент	Город
REG-151	19.10.2016	Куртка	27	4914	Олимпиец	Москва
REG-152	21.10.2016	Самокат	166	62244	Чемпион	Москва
REG-153	22.10.2016	Футболка	159	34663,2	Будь здоров!	Нижний Новгород
REG-154	23.10.2016	Кроссовки	191	41641,6	Будь здоров!	Нижний Новгород
REG-155	28.10.2016	Кеды	141	35100	Будь здоров!	Нижний Новгород
REG-156	28.10.2016	Самокат	55	9921,6	Радуга Спорта	Санкт-Петербург
REG-157	29.10.2016	Жилет	162	24102	Чемпион	Москва
REG-158	29.10.2016	Футболка	112	20030,4	ПРО Спорт	Владивосток
REG-159	31.10.2016	Жилет	56	14040	Спортифф	Владивосток
REG-160	31.10.2016	Самокат	55	20748	Все для спорта	Нижний Новгород
REG-161	06.11.2016	Футболка	70	26676	Фаворит	Санкт-Петербург
REG-162	06.11.2016	Кеды	71	15587	Радуга Спорта	Санкт-Петербург
REG-163	08.11.2016	Куртка	112	27820	Олимпиец	Москва
REG-164	09.11.2016	Жилет	67	12051	Все для спорта	Нижний Новгород
REG-165	18.11.2016	Кеды	106	38188,8	Все для спорта	Нижний Новгород
REG-166	19.11.2016	Кроссовки	188	27846	Фаворит	Санкт-Петербург
REG-167	19.11.2016	Самокат	53	20550,4	Олимпиец	Москва
REG-168	19.11.2016	Самокат	69	15015	Спортифф	Владивосток
REG-169	23.11.2016	Самокат	66	23634	Олимпиец	Москва
REG-170	25.11.2016	Жилет	191	68140,8	ПРО Спорт	Владивосток
REG-171	25.11.2016	Куртка	69	15015	Радуга Спорта	Санкт-Петербург
REG-172	27.11.2016	Кроссовки	71	26923	ПРО Спорт	Владивосток
REG-173	28.11.2016	Жилет	279	68900	Чемпион	Москва
REG-174	28.11.2016	Кроссовки	163	58406,4	Радуга Спорта	Санкт-Петербург
REG-175	30.11.2016	Кроссовки	55	8268	Олимпиец	Москва
REG-176	01.12.2016	Футболка	67	23868	Фаворит	Санкт-Петербург
REG-177	04.12.2016	Футболка	108	38937,6	Фаворит	Санкт-Петербург
REG-178	04.12.2016	Жилет	185	27573	Будь здоров!	Нижний Новгород
REG-179	05.12.2016	Самокат	67	10042,5	Будь здоров!	Нижний Новгород
REG-180	05.12.2016	Самокат	207	51187,5	Чемпион	Москва
REG-181	06.12.2016	Куртка	70	12519	Фаворит	Санкт-Петербург
REG-182	07.12.2016	Жилет	68	14872	Радуга Спорта	Санкт-Петербург
REG-183	08.12.2016	Самокат	55	13650	Все для спорта	Нижний Новгород
REG-184	08.12.2016	Куртка	141	35100	Олимпиец	Москва
REG-185	09.12.2016	Куртка	66	16412,5	Фаворит	Санкт-Петербург
REG-186	10.12.2016	Куртка	111	16536	Фаворит	Санкт-Петербург
REG-187	12.12.2016	Кеды	284	42120	Все для спорта	Нижний Новгород
REG-188	12.12.2016	Кеды	171	64615,2	Радуга Спорта	Санкт-Петербург
REG-189	14.12.2016	Самокат	107	38563,2	Фаворит	Санкт-Петербург
REG-190	22.12.2016	Футболка	27	6120,4	Олимпиец	Москва
REG-191	26.12.2016	Куртка	56	10108,8	Все для спорта	Нижний Новгород
